 INTERPRETE, TITULO, SELLO, ESTILO, LUGAR DE COMPRA
 ALICE DEEJAY, THE LONELY ONE, VIOLENT MUSIC, TRANCE, FANTASIA
 ALIEN FACTOR, PLEXUS, VALE MUSIC, PROGRESSIVE, FANTASIA
 ALIEN FACTORY, ANYTIME AND ANYPLACE, TIME UNLIMITED, HARDTRANCE, INTERGROOVE
 ALIEN FACTORY, BETA MUSIC '97, UNDERWORLD RECORDS, TRANCE, MUSIC MAIL
 ALIEN FACTORY, SCRAPER, TIME UNLIMITED, TRANCE, INTERGROOVE
 ALLAN McLOUD feat FRASER, SILENT RUNNING, INSOLENT TRACKS, TRANCE, FANTASIA
 ALLEGRO, MOMENTS IN LOVE, INSOLENT TRACKS, PROGRESSIVE, FANTASIA
 ALPHA BIT, BALERA, H&G RECORDS, HARDTRANCE, INTERGROOVE
 ALPHA PRIME, GET ON UP, WICKED TUNES, TRANCE, MUSIC MAIL
 ALPHAVILLE, BIG IN JAPAN, WEA MUSIK, TECHNO POP, SEGUNDA MANO
 AMADEUS, LOVE SONG, BIT MUSIC, MAKINA, FANTASIA
 AMBASSADOR, ONE OF THESE DAYS, CYBER MUSIC, TRANCE, DICMUSIC
 AMBITION, DAYFLIGHT, ILLUMINATE RECORDS, TRANCE, MUSIC HEAD
 ANACHRONISTIC PEOPLE, GO JACKY!, UNION SRL, TECHNO, FANTASIA
 ANALOGIC, GO BACK!, BOY RECORDS, MAKINA, FANTASIA
 ANALOGIC 2, ADRENALINA, BOY RECORDS, MAKINA, FANTASIA
 ANASTASIA, ANASTASIA, STEREOPHONIC, TRANCE, MUSIC MAIL
 ANASTASIA, ANASTASIA REMIXES, STEREOPHONIC, TRANCE, MUSIC MAIL
 ANDORA, LET IT FLOW, DDE RECORDS, TRANCE, PLASTIC
 ANDY JAY POWELL, LOVE NATION, SUCK ME PLASMA, TRANCE, MUSIC MAIL
 ANDY JAY POWELL meets ROBERT KLINE, LIKE A DREAM, AUDIOPLAST RECORDS, TRANCE, MUSIC HEAD
 ANDY TREX, PULSE FICTION EP, NOOM UK RECORDS, ACID TECHNO, FANTASIA
 ANGELES, HIGH HORSE, NIGHT FLIGHT, PROGRESSIVE, PLASTIC
 ANNIE EVANS, THE END OF THE ROAD, DUBIDO, EURODANCE, CORTE INGLES
 ANONIM, ANONIM, MAX MUSIC, MAKINA, TRACK DISCOS
 ANTHENOIDE, BEYOND THE SILENCE, BULL'S EYER ECORDS, TECHNO, FANTASIA
 ANTICAPPELLA feat MC FIXX IT, MOVE YOUR BODY, MAX MUSIC, EURODANCE, FANTASIA
 AQUAGEN, YOU ARE SO QUIET, DOS OR DIE RECORDINGS, TRANCE, MUSIC MAIL
 AQUALITE, WHAT IS LIFE, SUCK ME PLASMA, TRANCE, FANTASIA
 AQUALITE, OUTBACK, RED ALERT, TRANCE, MUSIC MAIL
 AQUALOOP, GET NAUGHTY, FOG AREA LIMITED, HARDTRANCE, FANTASIA
 AQUALOOP, GET NAUGHTY REMIXES, FOG AREA LIMITED, HARDTRANCE, FANTASIA
 AQUALORDS, WITCHES, CYBER MUSIC, PROGRESSIVE, FANTASIA
 AQUAPLEX meets JUNK PROJECT, BRIGHTNESS, XTRANOVA RECORDS, TRANCE, FANTASIA
 AREA, MUSIC FOR YOUR EYES, UFO WAVES, DANCE, FANTASIA
 AREA, TEARS OF FIRE, UFO WAVES, DANCE, FANTASIA
 AREXX, MOON BEAM, QUALITY RECORDS, MAKINA, FANTASIA
 ARKETIPO, THE SOUND OF NOW, BOY RECORDS, MAKINA, FANTASIA
 ARKIMED, L'ULTIMO DEI MOHICANI, DIG IT, MAKINA, FANTASIA
 ARMIN VAN BUUREN, COMMUNICATION, CYBER RECORDS, TRANCE, DICMUSIC
 ARMIN VAN BUUREN, SUNBURN, ARMIND, TRANCE, MUSIC HEAD
 ARMIN VAN BUUREN feat RAY WILSON, YET ANOTHER DAY, ARMIND, TRANCE, MUSIC HEAD
 ARRAKIS, THE SPICE, TRACID TRAXXX, TRANCE, PLASTIC
 ARRAKIS UK, AIRA FORCE, ELECTROPOLIS, TRANCE, FANTASIA
 ARROW, BACK IN THE HOUSE, OVERDOSE, TRANCE, FANTASIA
 ARSENIC ALLSTARS, SAVE THE PLANET EP, UPBEAT RECORDS, TRANCE, MUSIC MAIL
 ART BIZARRE, HOW TO LICK, EDM RECORDS, TRANCE, MUSIC MAIL
 ART OF TRANCE, MADAGASCAR, TRANSK RECORDS, TRANCE, MUSIC MAIL
 ART OF TRANCE feat CAROLINE LAVELLE, BREATHE, BLACKHOLE RECORDINGS, TRANCE, MUSIC MAIL
 ASCENSION, SOMEONE, CODE BLUE, TRANCE, FANTASIA
 ASCENSION, FOR A LIFETIME, XTRAVAGANZA RECORDS, TRANCE, MUSIC HEAD
 ASCENTION, STASIS, UG RECORDS, TRANCE, FANTASIA
 ASTRA , I NEED IT, NUKLEUZ, HARDHOUSE, FANTASIA
 ASTRAL INC, REMEMBER, FOG AREA TRANCE, TRANCE, FANTASIA
 ASTROLINE, SMILING FACES, ANTLER SUBWAY, PROGRESSIVE, FANTASIA
 ASTROLINE, ANGELS  , INSOLENT TRACKS, PROGRESSIVE, FANTASIA
 ASTROLINE feat DJ BART, TAKE GOOD CARE, INSOLENT TRACKS, PROGRESSIVE, FANTASIA
 A'S'Y'S', ACID SAVE YOUR SOUL, TRACID TRAXXX, ACID TRANCE, FANTASIA
 A'S'Y'S', ACID HEAD CRACKER REMIX, TRACID TRAXXX, ACID TRANCE, MUSIC MAIL
 A'S'Y'S', ACID NIGHTMARE, TRACID TRAXXX, ACID TRANCE, MUSIC MAIL
 ATB, 9 PM (TILL I COM), MORE MUSIC, TRANCE, FANTASIA
 ATB, DON'T STOP, VALE MUSIC, TRANCE, FANTASIA
 ATB, THE SUMMER, VALE MUSIC, TRANCE, FANTASIA
 ATB, LET U GO, KONTOR RECORDS, TRANCE, MUSIC MAIL
 ATB, HOLD YOU (THE MIXES), KONTOR RECORDS, TRANCE, MUSIC HEAD
 ATLANTIS vs AVATAR, FIJI, FUEL RECORDS, TRANCE, MUSIC MAIL
 ATMOSPHERIC, OXIGEN, BIT MUSIC, MAKINA, FANTASIA
 ATOMIC JUNKIES, ATOMIC JUNKIES, EDM RECORDS, HARDTRANCE, FANTASIA
 ATOMIC JUNKIES, THIS IS IT, EDM RECORDS, HARDTRANCE, FANTASIA
 ATOMIC SYSTEM, RAPIDO, BOY RECORDS, MAKINA, FANTASIA
 ATOR & AXEL, DANCE SECTION, BIT MUSIC, MAKINA, FANTASIA
 ATTICA, TIMEWARP, UFO WAVES, PROGRESSIVE, FANTASIA
 ATTICA 2, 2001 THE ODISSEY, UFO WAVES, PROGRESSIVE, FANTASIA
